Date,Narration,Debit,Credit,Balance
01/03/2026,Opening Balance,,,500000
02/03/2026,NEFT SIGMA DIAGNOSTICS LTD REF TXN8821,45000,,455000
03/03/2026,UPI PATIENT RAJESH KUMAR INV2026001,,8500,463500
05/03/2026,NACH HDFC BANK EMI LOAN ACC 8821,25000,,438500
07/03/2026,NEFT MEDSUPPLY INDIA PVT LTD,12800,,425700
08/03/2026,UPI PATIENT SUNITA VERMA INV2026002,,12000,437700
10/03/2026,IMPS APOLLO INSURANCE SETTLEMENT,,85000,522700
10/03/2026,NEFT LABTECH SOLUTIONS MAINT CHARGES,28500,,494200
12/03/2026,UPI PATIENT MOHAN DAS INV2026003,,3500,497700
13/03/2026,NEFT OFFICE RENT MARCH 2026,35000,,462700
14/03/2026,ELECTRICITY BILL BESCOM MARCH,4200,,458500
15/03/2026,TDS DEPOSIT 194C MARCH CHALLAN,8500,,450000
15/03/2026,PF DEPOSIT MARCH 2026 ECR,14400,,435600
17/03/2026,UPI PATIENT PRIYA NAIR INV2026004,,9200,444800
18/03/2026,NEFT SIGMA DIAGNOSTICS REAGENTS,18000,,426800
18/03/2026,NEFT SIGMA DIAGNOSTICS REAGENTS,18000,,408800
20/03/2026,SALARY TRANSFER MARCH 2026 BATCH,91350,,317450
22/03/2026,INTERNET BILL AIRTEL MARCH,2100,,315350
25/03/2026,CORPORATE BILLING HEALTHHUB LABS,,125000,440350
31/03/2026,BANK CHARGES MARCH 2026,350,,440000
